paragraph,company,are_they_making_money_off_the_data,can_they_access_other_data_on_your_phone_without_your_permission,can_they_track_your_search_history_outside_of_the_service,can_you_opt_out_of_sections_of_the_policy,conscientious,text_addresses_questions,do_they_protect_information_about_children,do_they_sell_demographic_information,do_they_sell_geolocation_data,do_they_sell_your_data_to_just_anyone,do_they_sell_your_data_to_trusted_3rd_parties,do_you_own_the_pictures_you_post,if_you_delete_your_account_is_your_data_deleted,is_data_provided_to_law_enforcement,is_your_sensitive_financial_data_protected,text_addresses_questions,text_doesnt_address_questions,will_this_company_use_your_data_in_advertising
"Cookies and Other TechnologiesIf you want to disable cookies and you’re using the Safari web browser, go to Safari preferences and then to the privacy pane to disable cookies. On your Apple mobile device, go to Settings, then Safari, and then to the Cookies section. For other browsers, check with your provider to find out how to disable cookies. Please note that certain features of the Apple website will not be available once cookies are disabled.As is true of most internet services, we gather some information automatically and store it in log files. This information includes Internet Protocol (IP) addresses, browser type and language, Internet service provider (ISP), referring and exit websites and applications, operating system, date/time stamp, and clickstream data.We use this information to understand and analyze trends, to administer the site, to learn about user behavior on the site, to improve our product and services, and to gather demographic information about our user base as a whole. Apple may use this information in our marketing and advertising services.",Apple,0,2,1,0,0,18,0,4,2,0,1,0,0,0,0,18,0,7
"Our Services instantly connect people everywhere to what’s most meaningful to them. Any registered user of the Twitter Services can send a Tweet, which is a message of 140 characters or less that is public by default and can include other content like photos, videos, and links to other websites.

This Privacy Policy (“Policy”) describes how and when Twitter collects, uses and shares your information when you use our Services. Twitter receives your information through our various websites, SMS, APIs, email notifications, applications, buttons, widgets, ads, commerce services (the “Twitter Services”), and our other covered services that link to this Policy (collectively, the “Services”) and from our partners and other third parties. For example, you send us information when you use our Services on the web, via SMS, or from an application such as Twitter for Mac, Twitter for Android or TweetDeck. When using any of our Services you consent to the collection, transfer, storage, disclosure, and use of your information as described in this Privacy Policy.",Twitter,0,1,1,0,0,6,0,1,0,0,3,0,0,0,0,6,0,3
"If you live in the United States, your information is controlled by Twitter, Inc., 1355 Market Street, Suite 900, San Francisco, CA 94103 U.S.A. If you live outside the United States, the data controller responsible for your information is Twitter International Company, an Irish company with its registered office at The Academy, 42 Pearse Street, Dublin 2, Ireland. Despite this, you alone control and are responsible for the posting of your Tweets and other content you submit through the Services, as provided in the Terms of Service and Twitter Rules.

Irrespective of which country you live in, you authorize us to use your information in, and as a result to transfer it to and store it in, the United States, Ireland, and any other country where we operate. Privacy and data protection laws in some of these countries may vary from the laws in the country where you live.",Twitter,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0
"Data we store
- We retain data as needed for our business purposes and/or as required by law.
- We make good faith efforts to store data securely, but can make no guarantees.
- You may access and update certain data about you via your account login.

Circumstances in which we may disclose user data:
- to vendors and service providers (e.g. payment processors) working on our behalf.
- to respond to subpoenas, search warrants, court orders, or other legal process.
- to protect our rights, property, or safety, or that of users of CL or the general public.
- with your consent (e.g. if you authorize us to share data with other users).
- in connection with a merger, bankruptcy, or sale/transfer of assets.
in aggregate/summary form, where it cannot reasonably be used to identify you.
- International Users - By accessing CL or providing us data, you agree we may use and disclose data we collect as described here or as communicated to you, transmit it outside your resident jurisdiction, and store it on servers in the United States. For more information please contact our privacy officer at privacy@craigslist.org.",Craigslist,2,0,0,0,0,18,0,0,0,0,7,0,0,8,0,18,0,1
"User Generated Content and Public Activities (Including Comments, Reader Reviews and TimesPeople)

We offer you opportunities to engage in public activities on NYTimes.com and other NYT Services. ""Public activities"" are any actions you take on NYTimes.com that are designed to be visible to other users, including comments, recommendations, reader reviews, ratings or any other items that you submit. Any information you disclose in your public activities, along with your screen name or ID, or any image or photo, becomes public and may be used by The New York Times for online and offline promotional or commercial uses in any and all media. If you choose to engage in public activities, you should be aware that any personal information you submit can be read, collected and used by other users of these areas. ",NY Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Registration Information

Registration for the NYT Services may require that you supply certain personal information, including a unique email address and demographic information (ZIP code, age, sex, household income, job industry and job title) to register.

You may register or enhance your profile by linking your Facebook or Google accounts on NYTimes.com. By doing this, you are asking them to send us certain information from those social media accounts, and you are authorizing us to collect, store, and use what they send us in accordance with this Privacy Policy. You can unlink your social media accounts or control what they share from their privacy controls.

Social media registration features may collect your IP address, the page you are visiting on our site, and may set a cookie to enable the feature to function properly. Social media features and widgets are either hosted by a third party or hosted directly on our web site.

You can disassociate your NYTimes.com registration from third-party accounts any time. For more detail, please see our Social Media FAQ.",NY Times,1,1,1,5,0,18,0,3,3,3,5,0,0,2,0,18,0,3
"Third Parties

We also share information about our audience in aggregate or de-identified form. Nothing in this Privacy Policy is intended to restrict our use or sharing of aggregated or de-identified information in any way.

If you are a print subscriber, we may exchange or rent your name and mailing address (but not your email address) and certain other information, such as when you first subscribed to The New York Times with other reputable companies that offer marketing information or products through direct mail. If you prefer that we do not share this information, you may opt-out by emailing us at opt-out@nytimes.com, or write to us at Customer Care, P.O. Box 8041 Davenport IA 52808-8041. Please include your account number and phone number in the body of your email or letter, and include ""Opt-out"" in the subject line.

We may share information about attendees to our live events with sponsors or other third parties. If so, we will notify you when you provide us the information.",NY Times,1,0,0,4,0,16,0,2,0,1,7,0,0,0,0,16,0,2
"Cookies and similar technologies
We and our partners use various technologies to collect and store information when you visit a Google service,
and this may include using cookies or similar technologies to identify your browser or device. We also use these
technologies to collect and store information when you interact with services we offer to our partners, such as
advertising services or Google features that may appear on other sites. Our Google Analytics product helps
businesses and site owners analyze the traffic to their websites and apps. When used in conjunction with our
advertising services, such as those using the DoubleClick cookie, Google Analytics information is linked, by the
Google Analytics customer or by Google, using Google technology, with information about visits to
multiple sites.
",Google,3,2,4,0,0,18,0,2,0,0,9,0,0,1,0,18,0,8
"Data we use to provide/improve our services and/or combat fraud/abuse:
- data you post on or send via CL, and/or send us directly or via other sites
- credit card data, which is transmitted to payment processors via a security protocol (e.g. SSL).
- data you submit or provide (e.g. name, address, email, phone, fax, photos, tax ID).
- web log data (e.g. web pages viewed, access times, IP address, HTTP headers).
- data collected via cookies (e.g. search - data and ""favorites"" lists).
- data about your device(s) (e.g. screen size, DOM local storage, plugins).
- data from 3rd parties (e.g. phone type, geo-location via IP address).",Craigslist,0,1,2,0,0,10,0,1,1,0,1,0,0,0,3,10,0,0
"WITH WHOM DO WE SHARE THE INFORMATION THAT WE GATHER?
Within The New York Times

If you have registered to use the NYT Services, we will not sell, rent, swap or authorize any third party to use your email address without your permission.

In the future, we may sell, buy, merge or partner with other companies or businesses. In such transactions, we may include your information among the transferred assets.
",NY Times,1,0,0,1,0,12,0,0,0,0,5,0,0,0,0,12,0,0
"Children's Guidelines

COPPA Compliance. Except for The Learning Network (see below), The New York Times does not knowingly collect or store any personal information about children under the age of 13.

The Learning Network. The Learning Network is a blog for parents, teachers and students that is freely available outside of the New York Times digital subscription service, and does not require registration. Students 13 and older are invited to post comments with their first names only on any open posts in the blog in accordance with New York Times Commenting practice. Though an email address must be provided in order to post a comment, it is not shared or sold to third parties, and does not appear publicly on the blog. To review or remove the optional email address (personal information collected), please use this form to contact the Learning Network.

For any questions concerning The Learning Network, please contact Katherine Schulten, NYTimes.com, 620 Eighth Avenue, 2nd floor, New York, NY 10018. Telephone: (212) 556-8391.",NY Times,0,0,0,1,0,18,9,0,0,0,0,0,0,0,0,18,0,0
