paragraph,company,are_they_making_money_off_the_data,can_they_access_other_data_on_your_phone_without_your_permission,can_they_track_your_search_history_outside_of_the_service,can_you_opt_out_of_sections_of_the_policy,conscientious,text_addresses_questions,do_they_protect_information_about_children,do_they_sell_demographic_information,do_they_sell_geolocation_data,do_they_sell_your_data_to_just_anyone,do_they_sell_your_data_to_trusted_3rd_parties,do_you_own_the_pictures_you_post,if_you_delete_your_account_is_your_data_deleted,is_data_provided_to_law_enforcement,is_your_sensitive_financial_data_protected,text_addresses_questions,text_doesnt_address_questions,will_this_company_use_your_data_in_advertising
"IS MY INFORMATION PROTECTED?
To prevent unauthorized access, maintain data accuracy and ensure the appropriate use of information, we have put in place commercially reasonable physical, technical and administrative controls to protect the information. Please note that no method of transmission over the Internet, or method of electronic storage, is 100% secure.

OTHER INFORMATION
Compliance With Legal Process

We may access, preserve and disclose personal information if we are required to do so by law or we have a good faith belief that such action is necessary to (1) comply with the law or with legal process; (2) protect and defend our rights and property; (3) protect against misuse or unauthorized use of the NYT Services; or (4) protect the personal safety or property of our users or the public (among other things, this means that if you provide false information or attempt to pose as someone else, information about you may be disclosed as part of any investigation into your actions).",NY Times,No,No,No,No,No,Yes,No,Maybe,No,No,Yes,No,No,Yes,Yes,Yes,No,No
"User Consent or Direction: We may share or disclose your information at your direction, such as when you authorize a third-party web client or application to access your account. Other users may share or disclose information about you, such as when they mention you, share a photo of you, or tag you in a photo. Your privacy settings control who can tag you in a photo on the Twitter Services. If you’ve shared information, like direct messages or protected Tweets, with another user who accesses the Twitter Services through a third-party service, keep in mind that the information may be shared with the third-party service.",Twitter,Maybe,No,No,Maybe,No,Yes,No,Yes,Yes,Yes,Yes,Maybe,No,Maybe,No,Yes,No,Yes
"INFORMATION WE COLLECT
If you choose to find your friends (iii) through a search of names or usernames on Instagram then simply type a name to search and we will perform a search on our Service.
Note about ""Invite Friends"" feature: If you choose to invite someone to the Service through our ""Invite friends"" feature, you may select a person directly from the contacts list on your device and send a text or email from your personal account. You understand and agree that you are responsible for any charges that apply to communications sent from your device, and because this invitation is coming directly from your personal account, Instagram does not have access to or control this communication.",Instagram,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Additional Information: You may provide us with profile information to make public on the Twitter Services, such as a short biography, your location, your website, date of birth, or a picture. For certain profile information fields we provide you with visibility settings to select who can see this information in your profile. If you provide us with profile information and you don’t see a visibility setting, that information is public. You may choose to upload and sync your address book so that we can help you find and connect with users you know or help other users find and connect with you. We may later tailor content, such as making suggestions or showing user accounts and Tweets for you and other users based on imported address book contacts. ",Twitter,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"HOW DO I CHANGE OR UPDATE MY PERSONAL INFORMATION?
The New York Times Home Delivery Web Account. You may update and/or edit your Home Delivery account information online at the Home Delivery website by clicking on the link for Update Account. Should you require assistance, please call our toll free number, 1-800-NYTIMES.

Manage Your NYTimes.com Account in the My Account Area. You may review and update your NYTimes.com membership or account information and access your transaction history in the My Account area.

Manage Your New York Times Events Account. Events include TimesTalks, Great Read in the Park, Arts and Leisure Weekend, Sunday with The Magazine and The New York Times Travel Show. To subscribe or unsubscribe from The New York Times Events email newsletter, please visit www.nytimes.com/events. Enter your email address in the field provided, select ""unsubscribe"" and click ""submit.""",NY Times,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"INFORMATION WE COLLECT
Metadata:

Metadata is usually technical data that is associated with User Content. For example, Metadata can describe how, when and by whom a piece of User Content was collected and how that content is formatted.
Users can add or may have Metadata added to their User Content including a hashtag (e.g., to mark keywords when you post a photo), geotag (e.g., to mark your location to a photo), comments or other data. This makes your User Content more searchable by others and more interactive. If you geotag your photo or tag your photo using other's APIs then, your latitude and longitude will be stored with the photo and searchable (e.g., through a location or map feature) if your photo is made public by you in accordance with your privacy settings.",Instagram,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No
"If you live in the United States, your information is controlled by Twitter, Inc., 1355 Market Street, Suite 900, San Francisco, CA 94103 U.S.A. If you live outside the United States, the data controller responsible for your information is Twitter International Company, an Irish company with its registered office at The Academy, 42 Pearse Street, Dublin 2, Ireland. Despite this, you alone control and are responsible for the posting of your Tweets and other content you submit through the Services, as provided in the Terms of Service and Twitter Rules.

Irrespective of which country you live in, you authorize us to use your information in, and as a result to transfer it to and store it in, the United States, Ireland, and any other country where we operate. Privacy and data protection laws in some of these countries may vary from the laws in the country where you live.",Twitter,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"From time to time, we may use your personal information to send important notices, such as communications about purchases and changes to our terms, conditions, and policies. Because this information is important to your interaction with Apple, you may not opt out of receiving these communications.We may also use personal information for internal purposes such as auditing, data analysis, and research to improve Appleís products, services, and customer communications.If you enter into a sweepstake, contest, or similar promotion we may use the information you provide to administer those programs.
We also collect data in a form that does not, on its own, permit direct association with any specific individual. We may collect, use, transfer, and disclose non-personal information for any purpose. The following are some examples of non-personal information that we collect and how we may use it:",Apple,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Disclosure to Third PartiesIt may be necessary _ by law, legal process, litigation, and/or requests from public and governmental authorities within or outside your country of residence _ for Apple to disclose your personal information. We may also disclose information about you if we determine that for purposes of national security, law enforcement, or other issues of public importance, disclosure is necessary or appropriate.We may also disclose information about you if we determine that disclosure is reasonably necessary to enforce our terms and conditions or protect our operations or users. Additionally, in the event of a reorganization, merger, or sale we may transfer any and all personal information we collect to the relevant third party.",Apple,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No
"Third Parties

We also share information about our audience in aggregate or de-identified form. Nothing in this Privacy Policy is intended to restrict our use or sharing of aggregated or de-identified information in any way.

If you are a print subscriber, we may exchange or rent your name and mailing address (but not your email address) and certain other information, such as when you first subscribed to The New York Times with other reputable companies that offer marketing information or products through direct mail. If you prefer that we do not share this information, you may opt-out by emailing us at opt-out@nytimes.com, or write to us at Customer Care, P.O. Box 8041 Davenport IA 52808-8041. Please include your account number and phone number in the body of your email or letter, and include ""Opt-out"" in the subject line.

We may share information about attendees to our live events with sponsors or other third parties. If so, we will notify you when you provide us the information.",NY Times,No,No,No,Maybe,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
"Cookies, Beacons, Local Storage and Other Similar Technologies. We use ""cookies,"" Web beacons, HTML5 local storage and other similar technologies. These technologies allow us to manage access to and use of the Services, recognize you and provide personalization, and help us understand how people use the NYT Services. You will not be able to access certain areas of our websites, including NYTimes.com, if your computer does not accept cookies from us. We do not respond to browser-based ""do not track"" signals. For more detailed information about our use of cookies and local storage, and how to manage them, see Frequently Asked Questions About Cookies and Similar Technologies in our Help section.

We may transmit non-personally identifiable website usage information to third parties in order to show you advertising for The New York Times when you visit other sites. For more information about our third-party ad server, or to learn your choices about not having this non-personal information used to target ads to you, please click here.",NY Times,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
"Children's Guidelines

COPPA Compliance. Except for The Learning Network (see below), The New York Times does not knowingly collect or store any personal information about children under the age of 13.

The Learning Network. The Learning Network is a blog for parents, teachers and students that is freely available outside of the New York Times digital subscription service, and does not require registration. Students 13 and older are invited to post comments with their first names only on any open posts in the blog in accordance with New York Times Commenting practice. Though an email address must be provided in order to post a comment, it is not shared or sold to third parties, and does not appear publicly on the blog. To review or remove the optional email address (personal information collected), please use this form to contact the Learning Network.

For any questions concerning The Learning Network, please contact Katherine Schulten, NYTimes.com, 620 Eighth Avenue, 2nd floor, New York, NY 10018. Telephone: (212) 556-8391.",NY Times,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
"SHARING OF YOUR INFORMATION

We will not rent or sell your information to third parties outside Instagram (or the group of companies of which Instagram is a part) without your consent, except as noted in this Policy.

Parties with whom we may share your information:

We may share User Content and your information (including but not limited to, information from cookies, log files, device identifiers, location data, and usage data) with businesses that are legally part of the same group of companies that Instagram is part of, or that become part of that group (""Affiliates""). Affiliates may use this information to help provide, understand, and improve the Service (including by providing analytics) and Affiliates' own services (including by providing you with better and more relevant experiences). But these Affiliates will honor the choices you make about who can see your photos.",Instagram,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
"Location-Based ServicesTo provide location-based services on Apple products, Apple and our partners and licensees may collect, use, and share precise location data, including the real-time geographic location of your Apple computer or device. Where available, location-based services may use GPS, Bluetooth, and your IP Address, along with crowd-sourced Wi-Fi hotspot and cell tower locations, and other technologies to determine your devicesí approximate location. Unless you provide consent, this location data is collected anonymously in a form that does not personally identify you and is used by Apple and our partners and licensees to provide and improve location-based products and services. For example, your device may share its geographic location with application providers when you opt in to their location services.Some location-based services offered by Apple, such as the ìFind My iPhoneî feature, require your personal information for the feature to work.",Apple,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No
"Tweets, Following, Lists and other Public Information: Our Services are primarily designed to help you share information with the world. Most of the information you provide us through the Twitter Services is information you are asking us to make public. Your public information includes the messages you Tweet; the metadata provided with Tweets, such as when you Tweeted and the client application you used to Tweet; the language and time zone associated with your account; and the lists you create, people you follow, Tweets you mark as likes or Retweet, and many other bits of information that result from your use of the Twitter Services. We may use this information to make inferences, like what topics you may be interested in, and to customize the content we show you, including ads. Our default is almost always to make the information you provide through the Twitter Services public for as long as you do not delete it, but we generally give you settings or features, like direct messages, to make the information more private if you want.",Twitter,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Maybe
"WHAT IS OUR EMAIL POLICY?

Survey Email. We may invite you to participate in user surveys asking for feedback on NYTimes.com and existing or prospective products and services, as well as information to better understand our users. User surveys greatly help us to improve the NYT Services, and any information we obtain in such surveys will not be shared with third parties, except in aggregate form.

Emails From You. If you send us an email, we will use your email address to respond directly to your questions or comments.

Email This Article Feature. Addresses you provide in the “Email” share feature may be saved for your convenience for future articles you may wish to email; but they are not used for any other purpose, and will not be shared with any third parties.",NY Times,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"HOW DO I OPT-OUT?
If, at any time, you prefer not to receive email marketing information from us, simply follow the unsubscribe options at the bottom of each email.

If you experience difficulty with the unsubscribe process, feel free to contact us at feedback@nytimes.com and provide your email address along with the name of the newsletter from which you would like to unsubscribe.

Mail or Telephone Promotions

If, at any time, you prefer not to receive mail or telephone solicitations originated by The New York Times Home Delivery Department, or if you prefer that we do not share this information with third parties for marketing purposes, please email us at opt-out@nytimes.com or write to us at Customer Care, P.O. Box 8041, Davenport, IA 52808-8041. Please include your account number and phone number in the body of your email or letter, and put ""Opt-out"" in the subject line.",NY Times,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"In some of our email messages, we use a click-through URL linked to content on the Apple website. When customers click one of these URLs, they pass through a separate web server before arriving at the destination page on our website. We track this click-through data to help us determine interest in particular topics and measure the effectiveness of our customer communications. If you prefer not to be tracked in this way, you should not click text or graphic links in the email messages.Pixel tags enable us to send email messages in a format customers can read, and they tell us whether mail has been opened. We may use this information to reduce or eliminate messages sent to customers.",Apple,No,No,Maybe,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"If you or anyone else using Family Sharing logs on to a device that is owned by a third party, any information shared within your Family including calendar, location, photos, and iTunes purchases may be downloaded on to that third-party device thereby disclosing any such shared information. [See About Family Sharing for more information.]
Integrity and Retention of Personal InformationApple makes it easy for you to keep your personal information accurate, complete, and up to date. We will retain your personal information for the period necessary to fulfill the purposes outlined in this Privacy Policy unless a longer retention period is required or permitted by law.",Apple,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
"HOW WE STORE YOUR INFORMATION

We use commercially reasonable safeguards to help keep the information collected through the Service secure and take reasonable steps (such as requesting a unique password) to verify your identity before granting you access to your account. However, Instagram cannot ensure the security of any information you transmit to Instagram or guarantee that information on the Service may not be accessed, disclosed, altered, or destroyed.
Please do your part to help us. You are responsible for maintaining the secrecy of your unique password and account information, and for controlling access to emails between you and Instagram, at all times. Your privacy settings may also be affected by changes the social media services you connect to Instagram make to their services. We are not responsible for the functionality, privacy, or security measures of any other organization.",Instagram,No,No,No,No,No,Yes,No,No,No,No,Yes,Maybe,No,Maybe,No,Yes,No,No
"Cookies: Like many websites, we use cookies and similar technologies to collect additional website usage data and to improve our Services, but we do not require cookies for many parts of our Services such as searching and looking at public user profiles. A cookie is a small data file that is transferred to your computer or mobile device. Twitter may use both session cookies and persistent cookies to better understand how you interact with our Services, to monitor aggregate usage by our users and web traffic routing on our Services, and to customize and improve our Services. Although most web browsers automatically accept cookies, some browsers’ settings can be modified to decline cookies or alert you when a website is attempting to place a cookie on your computer. However, some Services may not function properly if you disable cookies. We honor the Do Not Track browser option to give you control over how your website visits are used to personalize your Twitter experience and ads. Learn more about our Do Not Track support here, and about how we use cookies and similar technologies here.",Twitter,No,Maybe,Yes,Yes,No,Yes,No,Yes,No,No,Maybe,No,No,Maybe,No,Yes,No,Yes
"Third Parties

Some of the services and advertisements included in the NYT Services, including on NYTimes.com and within our mobile apps, are delivered or served by third-party companies, which may collect information about your use of the NYT Services.

These companies may place or recognize cookies, Web beacons or other technology to track certain non-personal information about our website users. For example, in the course of serving certain advertisements, an advertiser may place or recognize a unique cookie on your browser in order to collect certain information about your use of the NYT Services. For another example, an advertiser or ad server may also be able to collect your device’s unique identifier in the course of serving an ad. In many cases, this information could be used to show you ads on other websites based on your interests.

",NY Times,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes
"We may collect information such as occupation, language, zip code, area code, unique device identifier, referrer URL, location, and the time zone where an Apple product is used so that we can better understand customer behavior and improve our products, services, and advertising. 
We may collect information regarding customer activities on our website, iCloud services, and iTunes Store and from our other products and services. This information is aggregated and used to help us provide more useful information to our customers and to understand which parts of our website, products, and services are of most interest. Aggregated data is considered non_personal information for the purposes of this Privacy Policy.",Apple,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Maybe
"Third Parties 

We do not have access to, nor control over, these third parties' use of cookies or other tracking technologies or how they may be used.

Please click here to see a list of third parties that may be using cookies to serve advertising on our websites or in our apps. For example, we use Google to serve advertisements onto the NYT Services, which use the Google Doubleclick cookie, and in some cases, a unique device identifier, to show you ads based on your visit to NYTimes.com and other sites on the Internet. You may opt out of the use of the Google Doubleclick cookie by visiting the Google ad and content network privacy policy.

You have choices about the collection of information by third parties on our website:

1) If you would like more about your option not to accept advertiser cookies, please click here.

2) If you would like to opt-out of having interest-based ad targeting, click here.

Your access to our websites should not be affected if you do not accept cookies served by third parties.",NY Times,No,No,No,Maybe,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"SHARING OF YOUR INFORMATION
Parties with whom you may choose to share your User Content:

Any information or content that you voluntarily disclose for posting to the Service, such as User Content, becomes available to the public, as controlled by any applicable privacy settings that you set. To change your privacy settings on the Service, please change your profile setting. Once you have shared User Content or made it public, that User Content may be re-shared by others.
Subject to your profile and privacy settings, any User Content that you make public is searchable by other Users and subject to use under our Instagram API. The use of the Instagram API is subject to the API Terms of Use which incorporates the terms of this Privacy Policy.
If you remove information that you posted to the Service, copies may remain viewable in cached and archived pages of the Service, or if other Users or third parties using the Instagram API have copied or saved that information.",Instagram,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"Information we share
We do not share personal information with companies, organizations and individuals outside of Google unless one of the
following circumstances applies:
With your consent
We will share personal information with companies, organizations or individuals outside of Google when we have your
consent to do so. We require opt­in consent for the sharing of any sensitive personal information.
With domain administrators
If your Google Account is managed for you by a domain administrator (for example, for Google Apps users) then your
domain administrator and resellers who provide user support to your organization will have access to your Google
Account information (including your email and other data). Your domain administrator may be able to:
view statistics regarding your account, like statistics regarding applications you install.
change your account password.
suspend or terminate your account access.
access or retain information stored as part of your account.
receive your account information in order to satisfy applicable law, regulation, legal process or enforceable
governmental request.
restrict your ability to delete or edit information or privacy settings.
Please refer to your domain administrator’s privacy policy for more information.",Google,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Maybe,No,Yes,No,No
"Links: Twitter may keep track of how you interact with links across our Services, including our email notifications, third-party services, and client applications, by redirecting clicks or through other means. We do this to help improve our Services, to provide more relevant advertising, and to be able to share aggregate click statistics such as how many times a particular link was clicked on. Links, Tweets, and direct messages shared on the Services will be processed and links shortened to a http://t.co link. You can learn more about the benefits of link shortening here.",Twitter,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,Maybe
"User Generated Content and Public Activities (Including Comments, Reader Reviews and TimesPeople)

We offer you opportunities to engage in public activities on NYTimes.com and other NYT Services. ""Public activities"" are any actions you take on NYTimes.com that are designed to be visible to other users, including comments, recommendations, reader reviews, ratings or any other items that you submit. Any information you disclose in your public activities, along with your screen name or ID, or any image or photo, becomes public and may be used by The New York Times for online and offline promotional or commercial uses in any and all media. If you choose to engage in public activities, you should be aware that any personal information you submit can be read, collected and used by other users of these areas. ",NY Times,No,No,No,No,No,Yes,No,No,No,Maybe,No,No,No,No,No,Yes,No,Maybe
"Cookies and similar technologies
We and our partners use various technologies to collect and store information when you visit a Google service,
and this may include using cookies or similar technologies to identify your browser or device. We also use these
technologies to collect and store information when you interact with services we offer to our partners, such as
advertising services or Google features that may appear on other sites. Our Google Analytics product helps
businesses and site owners analyze the traffic to their websites and apps. When used in conjunction with our
advertising services, such as those using the DoubleClick cookie, Google Analytics information is linked, by the
Google Analytics customer or by Google, using Google technology, with information about visits to
multiple sites.
",Google,No,No,Maybe,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes
"Data we use to provide/improve our services and/or combat fraud/abuse:
- data you post on or send via CL, and/or send us directly or via other sites
- credit card data, which is transmitted to payment processors via a security protocol (e.g. SSL).
- data you submit or provide (e.g. name, address, email, phone, fax, photos, tax ID).
- web log data (e.g. web pages viewed, access times, IP address, HTTP headers).
- data collected via cookies (e.g. search - data and ""favorites"" lists).
- data about your device(s) (e.g. screen size, DOM local storage, plugins).
- data from 3rd parties (e.g. phone type, geo-location via IP address).",Craigslist,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"HOW WE USE YOUR INFORMATION

In addition to some of the specific uses of information we describe in this Privacy Policy, we may use information that we receive to:

help you efficiently access your information after you sign in
remember information so you will not have to re-enter it during your visit or the next time you visit the Service;
provide personalized content and information to you and others, which could include online ads or other forms of marketing
provide, improve, test, and monitor the effectiveness of our Service
develop and test new products and features
monitor metrics such as total number of visitors, traffic, and demographic patterns
diagnose or fix technology problems
automatically update the Instagram application on your device Instagram or other Users may run contests, special offers or other events or activities (""Events"") on the Service. If you do not want to participate in an Event, do not use the particular Metadata (i.e. hashtag or geotag) associated with that Event.",Instagram,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"INFORMATION WE COLLECT
Log file information:

Log file information is automatically reported by your browser each time you make a request to access (i.e., visit) a web page or app. It can also be provided when the content of the webpage or app is downloaded to your browser or device.
When you use our Service, our servers automatically record certain log file information, including your web request, Internet Protocol (""IP"") address, browser type, referring / exit pages and URLs, number of clicks and how you interact with links on the Service, domain names, landing pages, pages viewed, and other such information. We may also collect similar information from emails sent to our Users which then help us track which emails are opened and which links are clicked by recipients. The information allows for more accurate reporting and improvement of the Service.",Instagram,No,No,No,No,No,Maybe,No,No,No,No,No,No,No,No,No,Maybe,No,No
"OTHER WEB SITES AND SERVICES

We are not responsible for the practices employed by any websites or services linked to or from our Service, including the information or content contained within them. Please remember that when you use a link to go from our Service to another website or service, our Privacy Policy does not apply to those third-party websites or services. Your browsing and interaction on any third-party website or service, including those that have a link on our website, are subject to that third party's own rules and policies. In addition, you agree that we are not responsible and do not have control over any third-parties that you authorize to access your User Content. If you are using a third-party website or service and you allow them to access your User Content you do so at your own risk.",Instagram,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Information we share
For external processing
We provide personal information to our affiliates or other trusted businesses or persons to process it for us, based on our
instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.
For legal reasons
We will share personal information with companies, organizations or individuals outside of Google if we have a good faith
belief that access, use, preservation or disclosure of the information is reasonably necessary to:
meet any applicable law, regulation, legal process or enforceable governmental request.
enforce applicable Terms of Service, including investigation of potential violations.
detect, prevent, or otherwise address fraud, security or technical issues.
protect against harm to the rights, property or safety of Google, our users or the public as required or permitted
by law.",Google,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,Maybe,No,Yes,No,No
"Analytics, Log Files and Reading History

We have hired third parties to provide us information, reports and analysis about the usage, browsing patterns of our users. They may independently record the type of device and operating system you are using, general location information, as well as events that occur within our apps, such as how often you use our apps.

Location Information. 

Some of our mobile applications can deliver content based on your current location if you choose to enable that feature of the app. If you enable the location-based feature, your current location will be stored locally on your device, which will then be used by the app. If you elect to have a location-based search saved to your history, we will store that information on our servers. If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.

The ads in our apps are not targeted to you based on your current GPS location, but they may be targeted to you based on your ZIP code or device's IP address.",NY Times,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No
"How we use your personal informationThe personal information we collect allows us to keep you posted on Appleís latest product announcements, software updates, and upcoming events. If you donít want to be on our mailing list, you can opt out anytime by updating your preferences.We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.We may use your personal information, including date of birth, to verify identity, assist with identification of users, and to determine appropriate services. For example, we may use date of birth to determine the age of Apple ID account holders.",Apple,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
"Transparency and choice
View and edit your preferences about the Google ads shown to you on Google and across the web, such as which
categories might interest you, using Ads Settings. You can also opt out of certain Google advertising services here.
Adjust how the Profile associated with your Google Account appears to others.
Control who you share information with through your Google Account.
Take information associated with your Google Account out of many of our services.
Choose whether your Profile name and Profile photo appear in shared endorsements that appear in ads.
You may also set your browser to block all cookies, including cookies associated with our services, or to indicate when a cookie
is being set by us. However, it’s important to remember that many of our services may not function properly if your cookies
are disabled. For example, we may not remember your language preferences.",Google,No,No,No,Maybe,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"INFORMATION WE COLLECT
Analytics information:

We use third-party analytics tools to help us measure traffic and usage trends for the Service. These tools collect information sent by your device or our Service, including the web pages you visit, add-ons, and other information that assists us in improving the Service. We collect and use this analytics information with analytics information from other Users so that it cannot reasonably be used to identify any particular individual User.
Cookies and similar technologies:

When you visit the Service, we may use cookies and similar technologies like pixels, web beacons, and local storage to collect information about how you use Instagram and provide features to you.
We may ask advertisers or other partners to serve ads or services to your devices, which may use cookies or similar technologies placed by us or the third party.
More information is available in our About Cookies section",Instagram,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Maybe
"Protecting your privacy
- We take precautions to prevent unauthorized access to or misuse of data about you.
- We do not run ads, other than the classifieds posted by our users.
We do not share your data with third parties for marketing purposes.
- We do not engage in cross-marketing or link-referral programs.
- We do not employ tracking devices for marketing purposes.
- We do not send you unsolicited communications for marketing purposes.
- We do not engage in affiliate marketing (and prohibit it on CL).
- We do provide email proxy & relay services to reduce unwanted email.
- Please review privacy policies of any third party sites linked to from CL.",Craigslist,No,No,No,No,No,Maybe,No,No,No,No,No,No,No,No,No,Maybe,No,No
"WITH WHOM DO WE SHARE THE INFORMATION THAT WE GATHER?
Within The New York Times

If you have registered to use the NYT Services, we will not sell, rent, swap or authorize any third party to use your email address without your permission.

In the future, we may sell, buy, merge or partner with other companies or businesses. In such transactions, we may include your information among the transferred assets.
",NY Times,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"Changes to this Policy
We may revise this Privacy Policy from time to time. The most current version of the policy will govern our use of your information and will always be at https://twitter.com/privacy. If we make a change to this policy that, in our sole discretion, is material, we will notify you via an @Twitter update or email to the email address associated with your account. By continuing to access or use the Services after those changes become effective, you agree to be bound by the revised Privacy Policy.",Twitter,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Children
Children under the age of 13, or equivalent minimum age in the relevant jurisdiction, are not permitted to create their own Apple IDs, unless their parent provided consent through the Apple ID for Students Program or as part of the child account creation process in Family Sharing. For example, a parent must review the Apple ID and Family Sharing Disclosure and agree to the Consent to Apple’s Collection, Use and Disclosure of Your Child’s Information; and the iTunes Store Terms and Conditions, before they can begin the Apple ID account creation process for their child. Learn more about Family Sharing, the Apple ID for Students program and Restrictions for children’s accounts.If at any time a parent needs to access, correct, or delete data associated with their Family Sharing account or child’s Apple ID, they may contact us through our Privacy Contact Form.",Apple,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
"Law and Harm: Notwithstanding anything to the contrary in this Policy, we may preserve or disclose your information if we believe that it is reasonably necessary to comply with a law, regulation, legal process, or governmental request; to protect the safety of any person; to address fraud, security or technical issues; or to protect Twitter’s rights or property. However, nothing in this Privacy Policy is intended to limit any legal defenses or objections that you may have to a third party’s, including a government’s, request to disclose your information.


Business Transfers and Affiliates: In the event that Twitter is involved in a bankruptcy, merger, acquisition, reorganization or sale of assets, your information may be sold or transferred as part of that transaction. This Privacy Policy will apply to your information as transferred to the new entity. We may also disclose information about you to our corporate affiliates in order to help provide, understand, and improve our Services and our affiliates’ services, including the delivery of ads.",Twitter,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,Yes,No,Yes,No,No
"Commerce Transactions: If you make a payment as part of a commerce transaction through our Services, we may provide the seller, commerce provider, marketplace, or charity with your name, email address, shipping address, Payment Information and Transaction Data to facilitate payment processing, order fulfilment, and dispute resolution (including payment and shipping disputes) and to help prevent, detect, and investigate fraud or other prohibited activities. Please refer to these third parties’ privacy policies for information about their privacy practices.",Twitter,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Maybe,No,Yes,No,No
"Information we collect
We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak,
to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube
videos you might like.
We collect information in the following ways:
Information you give us. For example, many of our services require you to sign up for a Google Account. When you
do, we’ll ask for personal information, like your name, email address, telephone number or credit card to store with your
account. If you want to take full advantage of the sharing features we offer, we might also ask you to create a publicly
visible Google Profile, which may include your name and photo.
Information we get from your use of our services. We collect information about the services that you use and how
you use them, like when you watch a video on YouTube, visit a website that uses our advertising services, or view and
interact with our ads and content. This information includes:",Google,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
"INFORMATION WE COLLECT
Finding your friends on Instagram:

If you choose, you can use our ""Find friends"" feature to locate other people with Instagram accounts either through (i) your contacts list, (ii) third-party social media sites or (iii) through a search of names and usernames on Instagram.
If you choose to find your friends through (i) your device's contacts list, then Instagram will access your contacts list to determine whether or not someone associated with your contact is using Instagram.
If you choose to find your friends through a (ii) third-party social media site, then you will be prompted to set up a link to the third-party service and you understand that any information that such service may provide to us will be governed by this Privacy Policy.",Instagram,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
